ATC;NT;NAZEV;NAZEV_EN
N05AL03;N;tiaprid;tiapride
N05AL04;N;remoxiprid;remoxipride
N05AL05;N;amisulprid;amisulpride
N05AL06;N;veraliprid;veralipride
N05AL07;N;levosulpirid;levosulpiride
N05AN;N;Lithium;Lithium
N05AN01;N;lithium;lithium
N05AX;N;Jiná antipsychotika;Other antipsychotics
N05AX07;N;prothipendyl;prothipendyl
N05AX08;N;risperidon;risperidone
N05AX10;N;mosapramin;mosapramine
N05AX11;N;zotepin;zotepine
N05AX12;N;aripiprazol;aripiprazole
N05AX13;N;paliperidon;paliperidone
N05AX14;N;iloperidon;iloperidone
N05AX15;N;kariprazin;cariprazine
N05AX16;N;brexpiprazol;brexpiprazole
N05AX17;N;pimavanserin;pimavanserin
N05B;N;ANXIOLYTIKA;ANXIOLYTICS
N05BA;N;Benzodiazepinové deriváty;Benzodiazepine derivatives
N05BA01;N;diazepam;diazepam
N05BA02;N;chlordiazepoxid;chlordiazepoxide
N05BA03;N;medazepam;medazepam
N05BA04;N;oxazepam;oxazepam
N05BA05;N;kalium-klorazepát;potassium clorazepate
N05BA06;N;lorazepam;lorazepam
N05BA07;N;adinazolam;adinazolam
N05BA08;N;bromazepam;bromazepam
N05BA09;N;klobazam;clobazam
N05BA10;N;ketazolam;ketazolam
N05BA11;N;prazepam;prazepam
N05BA12;N;alprazolam;alprazolam
N05BA13;N;halazepam;halazepam
N05BA14;N;pinazepam;pinazepam
N05BA15;N;kamazepam;camazepam
N05BA16;N;nordazepam;nordazepam
N05BA17;N;fludiazepam;fludiazepam
N05BA18;N;ethyl-loflazepát;ethyl loflazepate
N05BA19;N;etizolam;etizolam
N05BA21;N;klotiazepam;clotiazepam
N05BA22;N;kloxazolam;cloxazolam
N05BA23;N;tofisopam;tofisopam
N05BA24;N;bentazepam;bentazepam
N05BA25;N;mexazolam;mexazolam
N05BA56;N;lorazepam, kombinace;lorazepam, combinations
N05BB;N;Deriváty difenylmethanu;Diphenylmethane derivatives
N05BB01;N;hydroxyzin;hydroxyzine
N05BB02;N;kaptodiam;captodiame
N05BB51;N;hydroxyzin, kombinace;hydroxyzine, combinations
N05BC;N;Karbamáty;Carbamates
N05BC01;N;meprobamát;meprobamate
N05BC03;N;emylkamát;emylcamate
N05BC04;N;mebutamát;mebutamate
N05BC51;N;meprobamát, kombinace;meprobamate, combinations
N05BD;N;Deriváty dibenzo-bicyklo-oktadienu;Dibenzo-bicyclo-octadiene derivatives
N05BD01;N;benzoktamin;benzoctamine
N05BE;N;Deriváty azaspirodekanedionu;Azaspirodecanedione derivatives
N05BE01;N;buspiron;buspirone
N05BX;N;Jiná anxiolytika;Other anxiolytics
N05BX01;N;mefenoxalon;mephenoxalone
N05BX02;N;gedokarnil;gedocarnil
N05BX03;N;etifoxin;etifoxine
N05BX04;N;fabomotizol;fabomotizole
N05BX05;N;levandulová silice;Lavandulae aetheroleum
N05C;N;HYPNOTIKA A SEDATIVA;HYPNOTICS AND SEDATIVES
N05CA;N;Barbituráty, samotné;Barbiturates, plain
N05CA01;N;pentobarbital;pentobarbital
N05CA02;N;amobarbital;amobarbital
N05CA03;N;butobarbital;butobarbital
N05CA04;N;barbital;barbital
N05CA05;N;aprobarbital;aprobarbital
N05CA06;N;sekobarbital;secobarbital
N05CA07;N;talbutal;talbutal
N05CA08;N;vinylbital;vinylbital
N05CA09;N;vinbarbital;vinbarbital
N05CA10;N;cyklobarbital;cyclobarbital
N05CA11;N;heptabarbital;heptabarbital
N05CA12;N;reposal;reposal
N05CA15;N;methohexital;methohexital
N05CA16;N;hexobarbital;hexobarbital
N05CA19;N;thiopental;thiopental
N05CA20;N;etallobarbital;etallobarbital
N05CA21;N;alobarbital;allobarbital
N05CA22;N;proxibarbal;proxibarbal
N05CB;N;Barbituráty, kombinace;Barbiturates, combinations
N05CB01;N;kombinace barbiturátů;combinations of barbiturates
N05CB02;N;barbituráty v kombinaci s jinými léčivy;barbiturates in combination with other drugs
N05CC;N;Aldehydy a deriváty;Aldehydes and derivatives
N05CC01;N;chloralhydrát;chloral hydrate
N05CC02;N;chloralodol;chloralodol
N05CC03;N;acetylglycinamid-chloralhydrát;acetylglycinamide chloral hydrate
N05CC04;N;dichloralfenazon;dichloralphenazone
N05CC05;N;paraldehyd;paraldehyde
N05CD;N;Benzodiazepinové deriváty;Benzodiazepine derivatives
N05CD01;N;flurazepam;flurazepam
N05CD02;N;nitrazepam;nitrazepam
N05CD03;N;flunitrazepam;flunitrazepam
N05CD04;N;estazolam;estazolam
N05CD05;N;triazolam;triazolam
N05CD06;N;lormetazepam;lormetazepam
N05CD07;N;temazepam;temazepam
N05CD08;N;midazolam;midazolam
N05CD09;N;brotizolam;brotizolam
N05CD10;N;kvazepam;quazepam
N05CD11;N;loprazolam;loprazolam
N05CD12;N;doxefazepam;doxefazepam
N05CD13;N;cinolazepam;cinolazepam
N05CD14;N;remimazolam;remimazolam
N05CD15;N;nimetazepam;nimetazepam
N05CE;N;Deriváty piperidindionu;Piperidinedione derivatives
N05CE01;N;glutethimid;glutethimide
N05CE02;N;methyprylon;methyprylon
N05CE03;N;pyrithyldion;pyrithyldione
N05CF;N;Léčiva podobná benzodiazepinům;Benzodiazepine related drugs
N05CF01;N;zopiklon;zopiclone
N05CF02;N;zolpidem;zolpidem
N05CF03;N;zaleplon;zaleplon
N05CF04;N;eszopiklon;eszopiclone
N05CH;N;Agonisté melatoninových receptorů;Melatonin receptor agonists
N05CH01;N;melatonin;melatonin
N05CH02;N;ramelteon;ramelteon
N05CH03;N;tasimelteon;tasimelteon
N05CJ;N;Antagonisté orexinových receptorů;Orexin receptor antagonists
N05CJ01;N;suvorexant;suvorexant
N05CJ02;N;lemborexant;lemborexant
N05CJ03;N;daridorexant;daridorexant
N05CM;N;Jiná hypnotika a sedativa;Other hypnotics and sedatives
N05CM01;N;methakvalon;methaqualone
N05CM02;N;klomethiazol;clomethiazole
N05CM03;N;bromisoval;bromisoval
N05CM04;N;karbromal;carbromal
N05CM05;N;skopolamin;scopolamine
N05CM06;N;propiomazin;propiomazine
N05CM07;N;triklofos;triclofos
N05CM08;N;ethchlorvynol;ethchlorvynol
N05CM09;N;kozlíkový kořen;Valerianae radix
N05CM10;N;hexapropymát;hexapropymate
N05CM11;N;bromidy;bromides
N05CM12;N;apronal;apronal
N05CM13;N;valnoktamid;valnoctamide
N05CM15;N;methylpentynol;methylpentynol
N05CM16;N;niaprazin;niaprazine
N05CM18;N;dexmedetomidin;dexmedetomidine
N05CX;N;Hypnotika a sedativa v kombinaci, kromě barbiturátů;Hypnotics and sedatives in combination, excl. barbiturates
N05CX01;N;meprobamat, kombinace;meprobamate, combinations
N05CX02;N;methakvalon, kombinace;methaqualone, combinations
N05CX03;N;methylpentynol, kombinace;methylpentynol, combinations
N05CX04;N;klomethiazol, kombinace;clomethiazole, combinations
N05CX05;N;emepronium, kombinace;emepronium, combinations
N05CX06;N;dipiperonylaminoethanol, kombinace;dipiperonylaminoethanol, combinations
N06;N;PSYCHOANALEPTIKA;PSYCHOANALEPTICS
N06A;N;ANTIDEPRESIVA;ANTIDEPRESSANTS
N06AA;N;Neselektivní inhibitory zpětného vychytávání monoaminů;Non-selective monoamine reuptake inhibitors
N06AA01;N;desipramin;desipramine
N06AA02;N;imipramin;imipramine
N06AA03;N;imipraminoxid;imipramine oxide
N06AA04;N;klomipramin;clomipramine
N06AA05;N;opipramol;opipramol
N06AA06;N;trimipramin;trimipramine
N06AA07;N;lofepramin;lofepramine
N06AA08;N;dibenzepin;dibenzepin
N06AA09;N;amitriptylin;amitriptyline
N06AA10;N;nortriptylin;nortriptyline
N06AA11;N;protriptylin;protriptyline
N06AA12;N;doxepin;doxepin
N06AA13;N;iprindol;iprindole
N06AA14;N;melitracen;melitracen
N06AA15;N;butriptylin;butriptyline
N06AA16;N;dosulepin;dosulepin
N06AA17;N;amoxapin;amoxapine
N06AA18;N;dimetakrin;dimetacrine
N06AA19;N;amineptin;amineptine
N06AA21;N;maprotilin;maprotiline
N06AA23;N;chinupramin;quinupramine
N06AB;N;Selektivní inhibitory zpětného vychytávání serotoninu;Selective serotonin reuptake inhibitors
N06AB02;N;zimeldin;zimeldine
N06AB03;N;fluoxetin;fluoxetine
N06AB04;N;citalopram;citalopram
N06AB05;N;paroxetin;paroxetine
N06AB06;N;sertralin;sertraline
N06AB07;N;alaproklát;alaproclate
N06AB08;N;fluvoxamin;fluvoxamine
N06AB09;N;etoperidon;etoperidone
N06AB10;N;escitalopram;escitalopram
N06AF;N;Neselektivní inhibitory monoaminooxidasy;Monoamine oxidase inhibitors, non-selective
N06AF01;N;isokarboxazid;isocarboxazid
N06AF02;N;nialamid;nialamide
N06AF03;N;fenelzin;phenelzine
N06AF04;N;tranylcypromin;tranylcypromine
N06AF05;N;iproniazid;iproniazide
N06AF06;N;iproklozid;iproclozide
N06AG;N;Inhibitory monoaminooxidasy typu A;Monoamine oxidase A inhibitors
N06AG02;N;moklobemid;moclobemide
N06AG03;N;toloxaton;toloxatone
N06AX;N;Jiná antidepresiva;Other antidepressants
N06AX01;N;oxitriptan;oxitriptan
N06AX02;N;tryptofan;tryptophan
N06AX03;N;mianserin;mianserin
N06AX04;N;nomifensin;nomifensine
N06AX05;N;trazodon;trazodone
N06AX06;N;nefazodon;nefazodone
N06AX07;N;minaprin;minaprine
N06AX08;N;bifemelan;bifemelane
N06AX09;N;viloxazin;viloxazine
N06AX10;N;oxaflozan;oxaflozane
N06AX11;N;mirtazapin;mirtazapine
N06AX12;N;bupropion;bupropion
N06AX13;N;medifoxamin;medifoxamine
N06AX14;N;tianeptin;tianeptine
N06AX15;N;pivagabin;pivagabine
N06AX16;N;venlafaxin;venlafaxine
N06AX17;N;milnacipran;milnacipran
N06AX18;N;reboxetin;reboxetine
N06AX19;N;gepiron;gepirone
N06AX21;N;duloxetin;duloxetine
N06AX22;N;agomelatin;agomelatine
N06AX23;N;desvenlafaxin;desvenlafaxine
N06AX24;N;vilazodon;vilazodone
N06AX25;N;třezalková nať;Hyperici herba
N06AX26;N;vortioxetin;vortioxetine
N06AX27;N;esketamin;esketamine
N06AX28;N;levomilnacipran;levomilnacipran
N06AX29;N;brexanolon;brexanolone
N06AX31;N;zuranolon;zuranolone
N06AX62;N;bupropion a dextromethorfan;bupropion and dextromethorphan
N06B;N;PSYCHOSTIMULANCIA, LÁTKY UŽÍVANÉ K LÉČBĚ ADHD A NOOTROPIKA;PSYCHOSTIMULANTS, AGENTS USED FOR ADHD AND NOOTROPICS
N06BA;N;Centrálně působící sympatomimetika;Centrally acting sympathomimetics
N06BA01;N;amfetamin;amfetamine
N06BA02;N;dexamfetamin;dexamfetamine
N06BA03;N;metamfetamin;metamfetamine
N06BA04;N;methylfenidát;methylphenidate
N06BA05;N;pemolin;pemoline
N06BA06;N;fenkamfamin;fencamfamin
N06BA07;N;modafinil;modafinil
N06BA08;N;fenozolon;fenozolone
N06BA09;N;atomoxetin;atomoxetine
N06BA10;N;fenetylin;fenetylline
N06BA11;N;dexmethylfenidát;dexmethylphenidate
N06BA12;N;lisdexamfetamin;lisdexamfetamine
N06BA13;N;armodafinil;armodafinil
N06BA14;N;solriamfetol;solriamfetol
N06BA15;N;dexmethylfenidát a serdexmethylfenidát;dexmethylphenidate and serdexmethylphenidate
N06BC;N;Deriváty xanthinu;Xanthine derivatives
N06BC01;N;kofein;caffeine
N06BC02;N;propentofylin;propentofylline
N06BX;N;Jiná psychostimulancia a nootropika;Other psychostimulants and nootropics
N06BX01;N;meklofenoxát;meclofenoxate
N06BX02;N;pyritinol;pyritinol
N06BX03;N;piracetam;piracetam
N06BX04;N;deanol;deanol
N06BX05;N;fipexid;fipexide
N06BX06;N;citikolin;citicoline
N06BX07;N;oxiracetam;oxiracetam
N06BX08;N;pirisudanol;pirisudanol
N06BX09;N;linopirdin;linopirdine
N06BX10;N;nizofenon;nizofenone
N06BX11;N;aniracetam;aniracetam
N06BX12;N;acetylkarnitin;acetylcarnitine
N06BX13;N;idebenon;idebenone
N06BX14;N;prolintan;prolintane
N06BX15;N;pipradrol;pipradrol
N06BX16;N;pramiracetam;pramiracetam
N06BX17;N;adrafinil;adrafinil
N06BX18;N;vinpocetin;vinpocetine
N06BX21;N;temgikoluril;temgicoluril
N06BX22;N;fenibut;phenibut
N06C;N;PSYCHOLEPTIKA A PSYCHOANALEPTIKA V KOMBINACI;PSYCHOLEPTICS AND PSYCHOANALEPTICS IN COMBINATION
N06CA;N;Antidepresiva v kombinaci s psycholeptiky;Antidepressants in combination with psycholeptics
N06CA01;N;amitriptylin a psycholeptika;amitriptyline and psycholeptics
N06CA02;N;melitracen a psycholeptika;melitracen and psycholeptics
N06CA03;N;fluoxetin a psycholeptika;fluoxetine and psycholeptics
N06CB;N;Psychostimulancia v kombinaci s psycholeptiky;Psychostimulants in combination with psycholeptics
N06D;N;LÉČIVA PROTI DEMENCI;ANTI-DEMENTIA DRUGS
N06DA;N;Anticholinesterasy;Anticholinesterases
N06DA01;N;takrin;tacrine
N06DA02;N;donepezil;donepezil
N06DA03;N;rivastigmin;rivastigmine
N06DA04;N;galantamin;galantamine
N06DA05;N;ipidakrin;ipidacrine
N06DA52;N;donepezil a memantin;donepezil and memantine
N06DA53;N;donepezil, memantin a jinanový list;donepezil, memantine and Ginkgo folium
N06DX;N;Jiná léčiva proti demenci;Other anti-dementia drugs
N06DX01;N;memantin;memantine
N06DX02;N;jinanový list;Ginkgo folium
N06DX03;N;adukanumab;aducanumab
N06DX04;N;lekanemab;lecanemab
N06DX05;N;donanemab;donanemab
N06DX30;N;jiná léčiva proti demenci, kombinace;combinations
N07;N;JINÁ LÉČIVA NERVOVÉHO SYSTÉMU;OTHER NERVOUS SYSTEM DRUGS
N07A;N;PARASYMPATOMIMETIKA;PARASYMPATHOMIMETICS
N07AA;N;Inhibitory cholinesterasy;Anticholinesterases
N07AA01;N;neostigmin;neostigmine
N07AA02;N;pyridostigminium;pyridostigmine
N07AA03;N;distigmin;distigmine
N07AA30;N;ambenonium;ambenonium
N07AA51;N;neostigmin, kombinace;neostigmine, combinations
N07AB;N;Estery cholinu;Choline esters
N07AB01;N;karbachol;carbachol
N07AB02;N;bethanechol;bethanechol
N07AX;N;Jiná parasympatomimetika;Other parasympathomimetics
N07AX01;N;pilokarpin;pilocarpine
N07AX02;N;cholin-alfoscerát;choline alfoscerate
N07AX03;N;cevimelin;cevimeline
N07B;N;LÉČIVA K TERAPII ZÁVISLOSTÍ;DRUGS USED IN ADDICTIVE DISORDERS
N07BA;N;Léčiva k terapii závislosti na nikotinu;Drugs used in nicotine dependence
N07BA01;N;nikotin;nicotine
N07BA03;N;vareniklin;varenicline
N07BA04;N;cytisiniklin;cytisinicline
N07BB;N;Léčiva k terapii závislosti na alkoholu;Drugs used in alcohol dependence
N07BB01;N;disulfiram;disulfiram
N07BB02;N;karbimid vápenatý;calcium carbimide
N07BB03;N;akamprosát;acamprosate
N07BB04;N;naltrexon;naltrexone
N07BB05;N;nalmefen;nalmefene
N07BB06;N;ondelopran;ondelopran
N07BC;N;Léčiva k terapii závislosti na opioidech;Drugs used in opioid dependence
N07BC01;N;buprenorfin;buprenorphine
N07BC02;N;methadon;methadone
N07BC03;N;levacetylmethadol;levacetylmethadol
N07BC04;N;lofexidin;lofexidine
N07BC05;N;levomethadon;levomethadone
N07BC06;N;heroin;diamorphine
N07BC51;N;buprenorfin, kombinace;buprenorphine, combinations
N07C;N;ANTIVERTIGINÓZA;ANTIVERTIGO PREPARATIONS
N07CA;N;Antivertiginóza;Antivertigo preparations
N07CA01;N;betahistin;betahistine
N07CA02;N;cinarizin;cinnarizine
N07CA03;N;flunarizin;flunarizine
N07CA04;N;acetylleucin;acetylleucine
N07CA52;N;cinarizin, kombinace;cinnarizine, combinations
N07X;N;JINÁ LÉČIVA CENTRÁLNÍ NERVOVÉ SOUSTAVY;OTHER NERVOUS SYSTEM DRUGS
N07XA;N;Gangliosidy a deriváty gangliosidů;Gangliosides and ganglioside derivatives
N07XX;N;Jiná léčiva nervového systému;Other nervous system drugs
N07XX01;N;tirilazad;tirilazad
N07XX02;N;riluzol;riluzole
N07XX03;N;xaliproden;xaliproden
N07XX04;N;natrium-oxybát;sodium oxybate
N07XX05;N;amifampridin;amifampridine
N07XX06;N;tetrabenazin;tetrabenazine
N07XX07;N;fampridin;fampridine
N07XX08;N;tafamidis;tafamidis
N07XX10;N;lachinimod;laquinimod
N07XX11;N;pitolisant;pitolisant
N07XX12;N;patisiran;patisiran
N07XX13;N;valbenazin;valbenazine
N07XX14;N;edaravon;edaravone
N07XX15;N;inotersen;inotersen
N07XX16;N;deutetrabenazin;deutetrabenazine
N07XX17;N;arimoklomol;arimoclomol
N07XX18;N;vutrisiran;vutrisiran
N07XX19;N;natrium-fenylbutyrát a ursodoxicholtaurin;sodium phenylbutyrate and ursodoxicoltaurine
N07XX21;N;eplontersen;eplontersen
N07XX22;N;tofersen;tofersen
N07XX23;N;troriluzol;troriluzole
N07XX24;N;trofinetid;trofinetide
N07XX25;N;omaveloxolon;omaveloxolone
N07XX59;N;dextromethorfan, kombinace;dextromethorphan, combinations
P;N;ANTIPARAZITIKA, INSEKTICIDY A REPELENTY;ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS
P01;N;ANTIPROTOZOIKA;ANTIPROTOZOALS
P01A;N;LÉČIVA PROTI AMEBIÁZE A JINÝM PROTOZOÓZÁM;AGENTS AGAINST AMOEBIASIS AND OTHER PROTOZOAL DISEASES
P01AA;N;Deriváty hydroxychinolinu;Hydroxyquinoline derivatives
P01AA01;N;broxychinolin;broxyquinoline
P01AA02;N;kliochinol;clioquinol
P01AA04;N;chlorchinaldol;chlorquinaldol
P01AA05;N;tilbrochinol;tilbroquinol
P01AA30;N;tilbrochinol a tilichinol;tilbroquinol and tiliquinol
P01AA52;N;kliochinol, kombinace;clioquinol, combinations
P01AB;N;Deriváty nitroimidazolu;Nitroimidazole derivatives
P01AB01;N;metronidazol;metronidazole
P01AB02;N;tinidazol;tinidazole
P01AB03;N;ornidazol;ornidazole
P01AB04;N;azanidazol;azanidazole
P01AB05;N;propenidazol;propenidazole
P01AB06;N;nimorazol;nimorazole
P01AB07;N;seknidazol;secnidazole
P01AB08;N;satranidazol;satranidazole
P01AB51;N;metronidazol a furazolidon;metronidazole and furazolidone
P01AB52;N;metronidazol a diloxanid;metronidazole and diloxanide
P01AB53;N;tinidazol a diloxanid;tinidazole and diloxanide
P01AC;N;Deriváty dichloracetamidu;Dichloroacetamide derivatives
P01AC01;N;diloxanid;diloxanide
P01AC02;N;klefamid;clefamide
P01AC03;N;etofamid;etofamide
P01AC04;N;teklozan;teclozan
P01AR;N;Sloučeniny arsenu;Arsenic compounds
P01AR01;N;arsthinol;arsthinol
P01AR02;N;difetarson;difetarsone
P01AR03;N;glykobiarsol;glycobiarsol
P01AR53;N;glykobiarsol, kombinace;glycobiarsol, combinations
P01AX;N;Jiná léčiva proti amebiáze a jiným protozoózám;Other agents against amoebiasis and other protozoal diseases
P01AX01;N;chiniofon;chiniofon
P01AX02;N;emetin;emetine
P01AX04;N;fanchinon;phanquinone
P01AX05;N;mepakrin;mepacrine
P01AX06;N;atovachon;atovaquone
P01AX07;N;trimetrexát;trimetrexate
P01AX08;N;tenonitrozol;tenonitrozole
P01AX09;N;dehydroemetin;dehydroemetine
P01AX10;N;fumagilin;fumagillin
P01AX11;N;nitazoxanid;nitazoxanide
P01AX52;N;emetin, kombinace;emetine, combinations
P01B;N;ANTIMALARIKA;ANTIMALARIALS
P01BA;N;Aminochinoliny;Aminoquinolines
P01BA01;N;chlorochin;chloroquine
P01BA02;N;hydroxychlorochin;hydroxychloroquine
P01BA03;N;primachin;primaquine
P01BA06;N;amodiachin;amodiaquine
P01BA07;N;tafenochin;tafenoquine
P01BB;N;Biguanidy;Biguanides
P01BB01;N;proguanil;proguanil
P01BB02;N;cykloguanil-embonát;cycloguanil embonate
P01BB51;N;progvanil a atovachon;proguanil and atovaquone
P01BB52;N;chlorochin a proguanil;chloroquine and proguanil
P01BC;N;Methanolchinoliny;Methanolquinolines
P01BC01;N;chinin;quinine
P01BC02;N;meflochin;mefloquine
P01BD;N;Diaminopyrimidiny;Diaminopyrimidines
P01BD01;N;pyrimethamin;pyrimethamine
P01BD51;N;pyrimethamin, kombinace;pyrimethamine, combinations
P01BE;N;Artemisinin a deriváty, samotný;Artemisinin and derivatives, plain
P01BE01;N;artemisinin;artemisinin
P01BE02;N;artemether;artemether
P01BE03;N;artesunát;artesunate
P01BE04;N;artemotil;artemotil
P01BE05;N;artenimol;artenimol
P01BF;N;Artemisinin a deriváty, kombinace;Artemisinin and derivatives, combinations
P01BF01;N;artemether a lumefantrin;artemether and lumefantrine
P01BF02;N;artesunát a meflochin;artesunate and mefloquine
P01BF03;N;artesunát a amodiachin;artesunate and amodiaquine
P01BF04;N;artesunát, sulfalen a pyrimethamin;artesunate, sulfalene and pyrimethamine
P01BF05;N;artenimol a piperachin;artenimol and piperaquine
P01BF06;N;artesunát a pyronaridin;artesunate and pyronaridine
P01BF07;N;artemisinin a piperachin;artemisinin and piperaquine
P01BF08;N;artemisinin a naftochin;artemisinin and naphthoquine
P01BF09;N;artesunát, sulfadoxin a pyrimethamin;artesunate, sulfadoxine and pyrimethamine
P01BX;N;Jiná antimalarika;Other antimalarials
P01BX01;N;halofantrin;halofantrine
P01BX02;N;arterolan a piperachin;arterolane and piperaquine
P01C;N;LÉČIVA K TERAPII LEISHMANIÓZ A TRYPANOZOMÓZ;AGENTS AGAINST LEISHMANIASIS AND TRYPANOSOMIASIS
P01CA;N;Deriváty nitroimidazolu;Nitroimidazole derivatives
P01CA02;N;benznidazol;benznidazole
P01CA03;N;fexinidazol;fexinidazole
P01CB;N;Sloučeniny antimonu;Antimony compounds
P01CB01;N;meglumin-antimonát;meglumine antimonate
P01CB02;N;natrium-stiboglukonát;sodium stibogluconate
P01CC;N;Deriváty nitrofuranu;Nitrofuran derivatives
P01CC01;N;nifurtimox;nifurtimox
P01CC02;N;nitrofural;nitrofural
P01CD;N;Sloučeniny arsenu;Arsenic compounds
P01CD01;N;melarsoprol;melarsoprol
P01CD02;N;acetarsol;acetarsol
P01CX;N;Jiná léčiva k terapii leishmanióz a trypanozomóz;Other agents against leishmaniasis and trypanosomiasis
P01CX01;N;pentamidinium-diisethionát;pentamidine isethionate
P01CX02;N;sodná sůl suraminu;suramin sodium
P01CX03;N;eflornithin;eflornithine
P01CX04;N;miltefosin;miltefosine
P02;N;ANTHELMINTIKA;ANTHELMINTICS
P02B;N;ANTITREMATODIKA;ANTITREMATODALS
P02BA;N;Deriváty chinolinu a příbuzné látky;Quinoline derivatives and related substances
P02BA01;N;prazikvantel;praziquantel
P02BA02;N;oxamnichin;oxamniquine
P02BA03;N;arprazikvantel;arpraziquantel
P02BB;N;Organofosfátové sloučeniny;Organophosphorous compounds
P02BB01;N;metrifonát;metrifonate
P02BX;N;Jiná antitrematodika;Other antitrematodal agents
P02BX01;N;bithionol;bithionol
P02BX02;N;niridazol;niridazole
P02BX03;N;stibofen;stibophen
P02BX04;N;triklabendazol;triclabendazole
P02C;N;ANTINEMATODIKA;ANTINEMATODAL AGENTS
P02CA;N;Benzimidazolové deriváty;Benzimidazole derivatives
P02CA01;N;mebendazol;mebendazole
P02CA02;N;tiabendazol;tiabendazole
P02CA03;N;albendazol;albendazole
P02CA04;N;ciklobendazol;ciclobendazole
P02CA05;N;flubendazol;flubendazole
P02CA06;N;fenbendazol;fenbendazole
P02CA51;N;mebendazol, kombinace;mebendazole, combinations
P02CB;N;Piperazin a deriváty;Piperazine and derivatives
P02CB01;N;piperazin;piperazine
P02CB02;N;diethylkarbamazin;diethylcarbamazine
P02CC;N;Deriváty tetrahydropyrimidinu;Tetrahydropyrimidine derivatives
P02CC01;N;pyrantel;pyrantel
P02CC02;N;oxantel;oxantel
P02CE;N;Deriváty imidazothiazolu;Imidazothiazole derivatives
P02CE01;N;levamisol;levamisole
P02CF;N;Avermektiny;Avermectines
P02CF01;N;ivermektin;ivermectin
P02CX;N;Jiná antinematodika;Other antinematodals
P02CX01;N;pyrvinium;pyrvinium
P02CX02;N;befenium;bephenium
P02CX03;N;moxidektin;moxidectin
P02D;N;ANTICESTODIKA;ANTICESTODALS
P02DA;N;Deriváty kyseliny salicylové;Salicylic acid derivatives
P02DA01;N;niklosamid;niclosamide
P02DX;N;Jiná anticestodika;Other anticestodals
P02DX01;N;desaspidin;desaspidin
P02DX02;N;dichlorofen;dichlorophen
P03;N;ANTIEKTOPARAZITIKA, VČETNĚ SKABICIDNÍCH LÉČIV, INSEKTICIDŮ A REPELENTŮ;ECTOPARASITICIDES, INCL. SCABICIDES, INSECTICIDES AND REPELLENTS
P03A;N;ANTIEKTOPARAZITIKA, VČETNĚ SKABICIDNÍCH LÉČIV;ECTOPARASITICIDES, INCL. SCABICIDES
P03AA;N;Přípravky obsahující síru;Sulfur containing products
P03AA01;N;dixanthogen;dixanthogen
P03AA02;N;polysulfid draselný;potassium polysulfide
P03AA03;N;mesulfen;mesulfen
P03AA04;N;disulfiram;disulfiram
P03AA05;N;thiram;thiram
P03AA54;N;disulfiram, kombinace;disulfiram, combinations
P03AB;N;Přípravky obsahující chlór;Chlorine containing products
P03AB01;N;klofenotan;clofenotane
P03AB02;N;lindan;lindane
P03AB51;N;klofenotan, kombinace;clofenotane, combinations
P03AC;N;Pyrethriny, včetně syntetických sloučenin;Pyrethrines, incl. synthetic compounds
P03AC01;N;pyrethrum;pyrethrum
P03AC02;N;bioalethrin;bioallethrin
P03AC03;N;fenothrin;phenothrin
P03AC04;N;permethrin;permethrin
P03AC51;N;pyrethrum, kombinace;pyrethrum, combinations
P03AC52;N;bioalethrin, kombinace;bioallethrin, combinations
P03AC53;N;fenothrin, kombinace;phenothrin, combinations
P03AC54;N;permetrin, kombinace;permethrin, combinations
P03AX;N;Jiná antiektoparazitika, včetně skabicidních léčiv;Other ectoparasiticides, incl. scabicides
P03AX01;N;benzyl-benzoát;benzyl benzoate
P03AX02;N;kuprumoleát;copper oleinate
P03AX03;N;malathion;malathion
P03AX04;N;kvasiové dřevo;quassia
P03AX05;N;dimetikon;dimeticone
P03AX06;N;benzylalkohol;benzyl alcohol
P03AX07;N;abametapir;abametapir
P03B;N;INSEKTICIDY A REPELENTY;INSECTICIDES AND REPELLENTS
P03BA;N;Pyrethriny;Pyrethrines
P03BA01;N;cyfluthrin;cyfluthrin
P03BA02;N;cypermethrin;cypermethrin
P03BA03;N;dekamethrin;decamethrin
P03BA04;N;tetramethrin;tetramethrin
P03BX;N;Jiné insekticidy a repelenty;Other insecticides and repellents
P03BX01;N;diethyltoluamid;diethyltoluamide
P03BX02;N;dimethyl-ftalát;dimethylphthalate
P03BX03;N;dibutyl-ftalát;dibutylphthalate
P03BX04;N;dibutylsukcinát;dibutylsuccinate
P03BX05;N;dimetylkarbat;dimethylcarbate
P03BX06;N;etohexadiol;etohexadiol
R;N;RESPIRAČNÍ SYSTÉM;RESPIRATORY SYSTEM
R01;N;NOSNÍ LÉČIVA;NASAL PREPARATIONS
R01A;N;DEKONGESČNÍ A JINÁ NOSNÍ LÉČIVA K LOKÁLNÍ APLIKACI;DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE
R01AA;N;Sympatomimetika samotná;Sympathomimetics, plain
R01AA02;N;cyklopentamin;cyclopentamine
R01AA03;N;efedrin;ephedrine
R01AA04;N;fenylefrin;phenylephrine
R01AA05;N;oxymetazolin;oxymetazoline
R01AA06;N;tetryzolin;tetryzoline
R01AA07;N;xylometazolin;xylometazoline
R01AA08;N;nafazolin;naphazoline
R01AA09;N;tramazolin;tramazoline
